Symbol,Company Name
NTPC.NS,NTPC Limited
NESTLEIND.NS,Nestlé India Limited
RELIANCE.NS,Reliance Industries Limited
BAJAJ-AUTO.NS,Bajaj Auto Limited
COALINDIA.NS,Coal India Limited
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited
TITAN.NS,Titan Company Limited
BAJFINANCE.NS,Bajaj Finance Limited
TATACONSUM.NS,Tata Consumer Products Limited
HEROMOTOCO.NS,Hero MotoCorp Limited
LT.NS,Larsen & Toubro Limited
INDUSINDBK.NS,IndusInd Bank Limited
ICICIBANK.NS,ICICI Bank Limited
ULTRACEMCO.NS,UltraTech Cement Limited
TATASTEEL.NS,Tata Steel Limited
HINDALCO.NS,Hindalco Industries Limited
MARUTI.NS,Maruti Suzuki India Limited
TCS.NS,Tata Consultancy Services Limited
ADANIENT.NS,Adani Enterprises Limited
MM.NS,MM.NS
ONGC.NS,Oil and Natural Gas Corporation Limited
KOTAKBANK.NS,Kotak Mahindra Bank Limited
BHARTIARTL.NS,Bharti Airtel Limited
BAJAJFINSV.NS,Bajaj Finserv Ltd.
CIPLA.NS,Cipla Limited
WIPRO.NS,Wipro Limited
BRITANNIA.NS,Britannia Industries Limited
ITC.NS,ITC Limited
TECHM.NS,Tech Mahindra Limited
HDFCLIFE.NS,HDFC Life Insurance Company Limited
